Name,Count
china,325
hong kong,284
new zealand,146
us,125
israel,106
india,104
iran,90
america,73
japan,72
russia,71
north korea,71
london,69
syria,68
indonesia,59
france,52
sa,44
pakistan,44
uk,42
brazil,35
california,32
sri lanka,32
paris,31
canada,30
beijing,28
south africa,28
netflix,27
hobart,27
richmond,27
taiwan,26
britain,23
new york,23
mexico,22
venezuela,22
tokyo,21
florida,21
afghanistan,21
vietnam,20
germany,19
saudi arabia,18
virginia,17
south korea,17
iraq,17
washington,16
italy,15
thailand,15
spain,15
venice,14
south west,14
cambodia,14
texas,14
lebanon,14
hawaii,14